Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,Resolved_Brand,Brand_Confidence,Brand_Source,Extracted_Attributes,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,MANUFACTURER_NAME,BRAND_NAME,MANUFACTURER_PART_NUMBER,Product Name,SHORT_DESC,LONG_DESC1,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20
DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",,,,Freud Inc (2435),Diablo,0.6,Product description,"[('Size', '1/2', 'in'), ('Size', '18', 'in'), ('Quantity', '6', 'pcs')]",Size,1/2,in,Size,18,in,Quantity,6.0,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freud Inc (2435),Diablo,DCB518ASTS06G,"Diablo 1/2""x18"" - Sanding Belt 6pc","Diablo 1/2""x18"" - Sanding Belt 6pc for industrial and commercial applications.","Diablo 1/2""x18"" - Sanding Belt 6pc Manufactured or supplied by Freud Inc (2435). Available product information includes Size: 1/2 in, Size: 18 in, Quantity: 6.0 pcs.","Diablo 1/2""x18"" - Sanding Belt 6pc designed for industrial and commercial use. Key identified specifications include Size: 1/2 in, Size: 18 in, Quantity: 6.0 pcs.",Brand: Diablo,Manufacturer: Freud Inc (2435),Manufacturer Part Number: DCB518ASTS06G,Size: 1/2 in,Size: 18 in,Quantity: 6.0 pcs,,,,,,,,,,,,,,
3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M,0.6,Product description,"[('Grit', 'P150', '')]",Grit,P150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jam Industrial Supply LLC (JAMIN),3M,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box for industrial and commercial applications.,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box Manufactured or supplied by Jam Industrial Supply LLC (JAMIN). Available product information includes Grit: P150.,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box designed for industrial and commercial use. Key identified specifications include Grit: P150.,Brand: 3M,Manufacturer: Jam Industrial Supply LLC (JAMIN),Manufacturer Part Number: 3MABR-7100075678,Grit: P150,,,,,,,,,,,,,,,,
3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M,0.6,Product description,"[('Grit', 'P120', '')]",Grit,P120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jam Industrial Supply LLC (JAMIN),3M,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box for industrial and commercial applications.,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box Manufactured or supplied by Jam Industrial Supply LLC (JAMIN). Available product information includes Grit: P120.,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box designed for industrial and commercial use. Key identified specifications include Grit: P120.,Brand: 3M,Manufacturer: Jam Industrial Supply LLC (JAMIN),Manufacturer Part Number: 3MABR-7100045865,Grit: P120,,,,,,,,,,,,,,,,
3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M,0.6,Product description,"[('Grit', 'P80', '')]",Grit,P80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jam Industrial Supply LLC (JAMIN),3M,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box for industrial and commercial applications.,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box Manufactured or supplied by Jam Industrial Supply LLC (JAMIN). Available product information includes Grit: P80.,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box designed for industrial and commercial use. Key identified specifications include Grit: P80.,Brand: 3M,Manufacturer: Jam Industrial Supply LLC (JAMIN),Manufacturer Part Number: 3MABR-7100048736,Grit: P80,,,,,,,,,,,,,,,,
3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M,0.6,Product description,"[('Grit', 'P180', '')]",Grit,P180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jam Industrial Supply LLC (JAMIN),3M,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box for industrial and commercial applications.,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box Manufactured or supplied by Jam Industrial Supply LLC (JAMIN). Available product information includes Grit: P180.,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box designed for industrial and commercial use. Key identified specifications include Grit: P180.,Brand: 3M,Manufacturer: Jam Industrial Supply LLC (JAMIN),Manufacturer Part Number: 3MABR-7100075690,Grit: P180,,,,,,,,,,,,,,,,
3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M,0.6,Product description,"[('Grit', 'P220', '')]",Grit,P220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jam Industrial Supply LLC (JAMIN),3M,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box for industrial and commercial applications.,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box Manufactured or supplied by Jam Industrial Supply LLC (JAMIN). Available product information includes Grit: P220.,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box designed for industrial and commercial use. Key identified specifications include Grit: P220.,Brand: 3M,Manufacturer: Jam Industrial Supply LLC (JAMIN),Manufacturer Part Number: 3MABR-7100075692,Grit: P220,,,,,,,,,,,,,,,,
3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M,0.6,Product description,"[('Grit', 'P320', '')]",Grit,P320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jam Industrial Supply LLC (JAMIN),3M,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box for industrial and commercial applications.,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box Manufactured or supplied by Jam Industrial Supply LLC (JAMIN). Available product information includes Grit: P320.,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box designed for industrial and commercial use. Key identified specifications include Grit: P320.,Brand: 3M,Manufacturer: Jam Industrial Supply LLC (JAMIN),Manufacturer Part Number: 3MABR-7100145365,Grit: P320,,,,,,,,,,,,,,,,
5B-332-080,"5B-332-080 HIOLIT 5"" P80",,,,Mirka Abrasives Inc (MIRUS),Unknown,0.0,No evidence,"[('Size', '5', 'in'), ('Grit', 'P80', '')]",Size,5,in,Grit,P80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirka Abrasives Inc (MIRUS),Unknown,5B-332-080,"HIOLIT 5"" P80","HIOLIT 5"" P80 for industrial and commercial applications.","HIOLIT 5"" P80 Manufactured or supplied by Mirka Abrasives Inc (MIRUS). Available product information includes Size: 5 in, Grit: P80.","HIOLIT 5"" P80 designed for industrial and commercial use. Key identified specifications include Size: 5 in, Grit: P80.",Manufacturer: Mirka Abrasives Inc (MIRUS),Manufacturer Part Number: 5B-332-080,Size: 5 in,Grit: P80,,,,,,,,,,,,,,,,
5B-332-120,"5B-332-120 HIOLIT 5"" P120",,,,Mirka Abrasives Inc (MIRUS),Unknown,0.0,No evidence,"[('Size', '5', 'in'), ('Grit', 'P120', '')]",Size,5,in,Grit,P120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirka Abrasives Inc (MIRUS),Unknown,5B-332-120,"HIOLIT 5"" P120","HIOLIT 5"" P120 for industrial and commercial applications.","HIOLIT 5"" P120 Manufactured or supplied by Mirka Abrasives Inc (MIRUS). Available product information includes Size: 5 in, Grit: P120.","HIOLIT 5"" P120 designed for industrial and commercial use. Key identified specifications include Size: 5 in, Grit: P120.",Manufacturer: Mirka Abrasives Inc (MIRUS),Manufacturer Part Number: 5B-332-120,Size: 5 in,Grit: P120,,,,,,,,,,,,,,,,
9A-570-240,9A-570-240 Abranet 2.75x30,,,,Mirka Abrasives Inc (MIRUS),Unknown,0.0,No evidence,"[('Dimension', '2.75 x 30', '')]",Dimension,2.75 x 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirka Abrasives Inc (MIRUS),Unknown,9A-570-240,Abranet 2.75x30,Abranet 2.75x30 for industrial and commercial applications.,Abranet 2.75x30 Manufactured or supplied by Mirka Abrasives Inc (MIRUS). Available product information includes Dimension: 2.75 x 30.,Abranet 2.75x30 designed for industrial and commercial use. Key identified specifications include Dimension: 2.75 x 30.,Manufacturer: Mirka Abrasives Inc (MIRUS),Manufacturer Part Number: 9A-570-240,Dimension: 2.75 x 30,,,,,,,,,,,,,,,,,
